POI (Point of Interst),English Name,GPS ,Parking GPS,Description,Other Info
约塞米蒂瀑布,Yosemite Falls,"37.755018, -119.597297",,,
新娘面纱瀑布,Bridalveil Fall,"37.716753, -119.646505",,,
酋长岩,El Capitan,"37.734093, -119.637667",,,
半屏丘,Half Dome,"37.746036, -119.53294",,,
韦纳尔瀑布,Vernal Fall,"37.727426, -119.543773",,,
内华达瀑布,Nevada Fall,"37.725278, -119.532778",,,
镜湖,Mirror Lake,"37.7485, -119.5491",,,
