POI_CN,POI_EN,GPS_x,GPS_y,GPS_PARKING_x,GPS_PARKING_y,HIKING,PHOTOGRAPHY,DRIVING,ADVENTURE,HEAT_SCORE,DESC_CN,DESC_EN,MISC_INFO,PIC_LINK
上黄石瀑布,Upper Yellowstone Falls,"44.712778, -110.499722",,,,,,,,,,,,
下黄石瀑布,Lower Yellowstone Falls,"44.718056, -110.496111",,,,,,,,,,,,
老忠实泉,Old Faithful,"44.46046, -110.82815",,,,,,,,,,,,
猛犸温泉,Mammoth Hot Springs,"44.966944, -110.712222",,,,,,,,,,,,
大棱镜泉,Grand Prismatic Spring,"44.525049, -110.83819",,,,,,,,,,,,
黑潭,Black Pool,"44.417995, -110.571873",,,,,,,,,,,,
